,Strain,Tob,Index,genexp_1,genexp_2,gpa_1,gpa_2,snps_1,snps_2
133,CH5597,0.0,133,0.6337624278827316,-34.55604955299388,-5.968805119757303,-2.934200184662023,26.98012672543501,-7.00120610658923
134,CH5621,0.0,134,-3.828726289999933,-31.46273967052795,-4.676718659332751,-3.0829011148783163,23.90189039246282,-2.0890604445339562
135,CH5638,0.0,135,-22.243843412715158,-30.58044579532587,-4.329850265273929,3.1163050336074267,22.50598520893232,9.810299751757398
136,CH5666,1.0,136,-20.446403848199417,3.4915893541740224,22.308004107382203,4.38764835680383,-63.58446639378977,27.723929912664538
137,CH5688,1.0,137,61.85582957470814,-6.155406346085422,17.304794191762873,-0.5042454258527105,-59.35833240546073,21.72149390400518
138,CH5695,1.0,138,45.00772662289301,-23.831913618252848,21.934014097673348,4.626198439173937,-63.2058523575124,27.093775331209663
139,ESP002,0.0,139,-43.67656067751152,43.53243177929296,0.9122277177237004,-7.565732158621229,-26.270044486397268,-29.352308792889243
140,ESP003,0.0,140,70.00349404612514,42.71521836478142,0.04202476087352136,-8.047056539052774,-21.038117751701733,-33.85279013489484
141,ESP004,1.0,141,-53.8850895770418,12.765301057556014,-0.03590044565626194,-7.986434068195942,-21.062754977875795,-33.85620200430105
142,ESP006,1.0,142,-18.87873335844838,8.291371063812862,-5.279393253718619,2.6978926221743915,26.589359361757534,5.413480867142084
143,ESP009,0.0,143,-24.492123090661376,7.63491591498981,-5.716442347292623,-1.6247929574757771,28.25176879765419,-6.694652674531639
144,ESP011,0.0,144,47.60296090702914,74.77243776118367,-4.177160642438504,6.837209744676208,23.02315305015698,16.16744662624069
145,ESP012,1.0,145,-23.183410002471547,14.048937035136555,-3.6328170595569302,-4.246950413623373,12.442649849130031,-3.8094267362518224
146,ESP013,1.0,146,-47.08021593488346,6.798705947530578,-4.724727483865193,-2.789910999606228,14.758369033340028,-3.738803175171867
147,ESP015,0.0,147,-34.86515355916753,20.766511085521493,1.4465560183069506,-7.812559512310101,-28.016590165200988,-34.75004532348755
148,ESP020,0.0,148,20.542674479175044,12.812821676826548,5.595328751951744,-7.172133014241126,-39.20092260702388,-19.631751726494755
