,Strain,Cip,Index,genexp_1,genexp_2,gpa_1,gpa_2,snps_1,snps_2
216,F1757,1.0,216,-66.55465265374167,20.064238991701934,-4.296459261102188,-2.657462597580814,21.41355934024253,15.318091975269063
217,F1758,0.0,217,100.00461108150309,42.750912352369284,-6.384374522786016,-0.15254497998359007,26.904817172025425,7.448572085838329
218,F1759,1.0,218,-29.45135571400303,-38.94739194693078,-5.297967068746304,-5.168774409834395,25.25364209062743,-11.26312932818638
219,F1760,1.0,219,25.665406252966154,18.14891335282723,-4.191995668703637,-2.490475924143218,15.453136015639679,21.258469120903776
220,F1763,1.0,220,35.41222355053042,-2.051422591292709,-3.566819265070611,-3.3963164032009017,19.158801550423796,14.378902156503628
222,F1775,1.0,222,-14.418893467666942,-16.477629404446123,-5.710640804514022,-4.158553394275294,28.26758197996375,-2.457782542063441
223,F1787,1.0,223,18.51514738509978,-7.123059275986103,-7.121632439639498,-3.7464817373614165,31.4588986346823,-10.13550292168329
224,F1789,1.0,224,-10.157569934912464,31.60144295919255,-4.033996232598989,-2.648525321609064,16.02469298746454,16.503043575868936
225,F1795,1.0,225,-20.063300979591876,22.079203573776663,20.487961363788116,3.086469123840276,-59.00420264251511,20.42187771666429
226,F1796,1.0,226,-25.542376451149792,-1.150833088129795,-5.510230382468455,22.164723322512923,29.944074483002943,13.862481941374206
227,F1798,1.0,227,-37.157215846193274,4.055468661119471,-5.636185646166731,22.192982521598065,29.899969974665964,13.843339641546336
228,F1800,0.0,228,-51.974310045984716,22.082097612028154,-6.3813087014324665,1.3656126087822713,24.651407595362095,14.791711690883787
229,F1801,1.0,229,-62.308520941967906,15.14178213559774,3.167045557503002,-1.8864191709440874,-29.580409996778734,-24.622082458183527
230,F1810,1.0,230,7.400601320986813,30.449931556809595,20.86468540225927,3.168966264613749,-62.945022241121805,27.630126452246408
231,F1812,1.0,231,-73.88342315325248,23.96775828119272,-4.295641318945526,-2.702573153932626,15.450174080217451,19.99164472091696
