,Strain,Cef,Index,genexp_1,genexp_2,gpa_1,gpa_2,snps_1,snps_2
211,F1746,1.0,211,-93.77122399027799,-82.27091963302705,76.98281816661326,-1.5069107560471386,297.2269120206735,-41.94571698570228
212,F1747,1.0,212,76.87971130037832,-83.30046533815994,82.5960611534527,-10.496100798775943,298.86119452172426,-31.805514722207217
213,F1748,1.0,213,90.34546990758992,-14.299184948605038,-20.66234248778705,-9.687360348625717,-163.47731052991222,-69.4407967641265
214,F1752,1.0,214,64.98183469417344,-24.245118924725176,-14.257388148541386,2.1995527088943967,-129.96783803907257,32.0221746229708
215,F1754,1.0,215,16.868707207695444,-92.72251570932353,-0.010168291641255498,27.24797250373744,261.1457983069583,75.08302083261793
216,F1757,1.0,216,-129.7884844329729,-39.826142664486085,-16.133737134284864,1.095697916054125,-158.22394783998374,-93.01303610653913
217,F1758,1.0,217,161.2495620144755,-91.15541196301764,-19.959806986503793,-5.760836379778153,-171.19108854026706,-52.08728074404762
219,F1760,1.0,219,55.233393086812875,-52.49315471196593,-14.313766240363544,-1.0832626610827347,-129.70543867072303,30.48731969340544
220,F1763,1.0,220,60.841308740493005,-4.042007100035187,-19.585663529017737,-1.1181587545904554,-158.25078747372584,-93.09305447345159
221,F1764,1.0,221,18.55237125503868,36.84485798464298,-15.28107600280313,2.559719646885272,-67.49876030230291,-58.92374464435118
222,F1775,1.0,222,-27.565946353622852,44.26285118553268,-19.13375536122962,-5.826704249047303,-165.7968086549175,-87.90900928741739
223,F1787,1.0,223,48.36558574558978,10.806659337960248,-19.163025343298585,-6.344736693490823,-161.73088403057224,-73.33622189222392
224,F1789,1.0,224,-18.130060802686632,-79.2164614544862,-14.177621883414044,-0.8292822052750937,-132.7203018962172,17.20648028582558
225,F1795,1.0,225,-44.342257167647745,-67.4049835502684,83.4283722100728,-11.053826416382448,275.2005450922416,-84.12274565791115
229,F1801,1.0,229,-114.52949698202801,-64.86958567840229,20.91196521520392,11.671228841754528,189.4962408981462,112.02924074136858
230,F1810,1.0,230,-0.815732222420065,-88.38290046845317,82.73530646197953,-10.02509797559169,275.0747919487082,-89.28937331803813
231,F1812,0.0,231,-124.50921065881495,-76.73035590329897,-14.28110286997498,-1.0884642513173552,-129.11892443940891,28.74017850245887
232,F1821,1.0,232,-96.0594942379578,-90.20677638884123,-14.345640366524167,2.161203482841481,-129.79557508019897,31.6589428545733
234,F1853,1.0,234,-1.6201247420792808,-50.98665399437052,91.35706998104006,-10.543449494935643,273.5144320497178,-86.81614758348987
235,F1862,1.0,235,-50.447092296903485,8.50890277550821,7.64435668266597,3.924730053976219,138.124316485844,117.74301900017767
236,F1864,1.0,236,-103.87045741716426,-16.67165920667354,82.14248551706685,-12.180015859888254,294.58506694821847,-44.97033712295436
237,F1869,1.0,237,121.2612952031765,-14.920428698817636,83.45381516455227,-11.490386993936651,317.00485643348964,-103.40159764332155
