,Strain,Cip,Index,genexp_1,genexp_2,gpa_1,gpa_2,snps_1,snps_2
225,F1795,1.0,225,39.6682833521224,65.96011041307885,80.55880061102008,9.36136467020588,308.80329307331584,62.71492032645866
226,F1796,1.0,226,47.153657557436134,-7.413981112112831,-69.42435369196747,73.9991359484095,-175.85759510498184,86.79911289331707
227,F1798,1.0,227,63.308330190455784,-6.260088762141548,-69.0714391224021,74.3096370020124,-176.33078879639743,86.50301735948851
228,F1800,0.0,228,89.81646614620071,52.01884166060362,-18.897563045840162,-6.519406517735214,-130.88171515118822,99.23886226403908
229,F1801,1.0,229,109.08876181815862,77.73960967190955,16.36284488814279,8.786588118272444,155.2220241621402,-4.91252668319747
230,F1810,1.0,230,-4.399421227944918,88.86082375498901,79.87891374482246,9.575859464228827,313.6438065452038,84.0269959525625
231,F1812,1.0,231,142.36592341683289,64.58226721657758,-14.37330578488428,-4.957999828312921,-130.78061420749185,-8.719620657296945
232,F1821,1.0,232,93.8438412373815,76.25400265657736,-14.430312396633633,-5.583708919578076,-134.26253125190425,-2.296616636566209
234,F1853,1.0,234,-2.191245163926729,45.57087195129696,85.40756074908853,20.338655634147226,307.44259722238405,73.8305190623262
236,F1864,1.0,236,96.74562099054376,13.193269376454987,79.69187380328529,9.866870300826454,353.38000550437414,81.08665950445213
237,F1869,1.0,237,-125.8751771224105,14.171504670979896,81.45033131587914,11.038589030643315,354.8099051583852,82.30180334054364
239,F1883,1.0,239,-75.78944329636259,-90.42221608341907,-24.08348985176894,-13.582591004550075,-137.55023219543406,137.44147832542177
241,F1957,1.0,241,-118.140377564489,57.81812675483079,15.011003740494491,4.226428256195262,157.0757894626782,-8.674089831380735
242,F1968,1.0,242,-65.89524813531376,-96.70201520810139,-19.52220502655771,18.48765635059399,-173.2276292231353,-32.62567688072578
243,F1979,1.0,243,0.961158550547985,46.35265459343586,72.01300211636865,20.65899258056049,334.163056700675,28.70607992271319
244,F1983,1.0,244,-56.05948860683955,37.80218713700454,70.0932517836385,-3.485483951827703,308.1245135509283,73.9922812945566
245,F1997,1.0,245,-10.070006298606833,-13.42637057514526,-19.660781697487952,-7.58822221453353,-131.9841286514165,28.05263290441303
246,F2000,1.0,246,38.987977499128284,99.3160262788768,78.53867929880329,6.433800477216918,310.8667372908535,83.64949208386436
247,F2003,1.0,247,-115.53632822329465,-35.96611335733326,6.598583142775052,-22.220886875289136,135.89974713843554,-119.47811577347333
248,F2005,1.0,248,-63.64638119555702,-15.482563609637017,-20.27377220098828,-7.6866108583403765,-130.41432565013443,6.142818986925687
249,F2006,1.0,249,107.50843740305865,19.879937787038692,-47.046846048955864,-19.350318334295203,-194.73204165708242,88.33413973415813
250,F2010,1.0,250,-81.40566092787246,30.79115142657013,-21.07490162048428,-15.581760914591026,-148.10620917508948,-49.67435748820114
251,F2017,1.0,251,-57.974939943717395,-71.00502365120951,-45.89577493529206,-18.160530318256672,-196.2584850485497,89.3282190274013
252,F2020,1.0,252,3.964748934438854,-39.315176575843466,6.538623068078541,-22.463146275475783,133.73701766636162,-120.41161434625204
253,F2029,0.0,253,5.217881267962947,0.08898638391370386,-17.337728898909965,-7.6821729677284685,-176.561112878808,-12.813695767456867
254,F2030,1.0,254,-62.620945127531115,44.548466546665644,74.20411977514162,-6.483758076588464,311.15487077316266,83.33087248905512
255,F2034,1.0,255,-50.45642653438858,-55.29044751657776,-24.03647949848282,-13.557439389318638,-137.0910565388937,142.7421667744801
257,F2040,1.0,257,-20.28253912238218,21.351548713782446,80.14356515977995,11.001861650170142,337.894815563787,36.228361299595015
259,F2045,1.0,259,-146.1676187341085,96.25406943631148,10.92284384745117,7.367911743301051,228.8468179062366,13.644584920426203
260,F2054,1.0,260,51.62682843529281,28.769128393264985,-9.097946022229664,-0.7202803471997454,-130.57243034899787,8.52733559593547
261,F2055,1.0,261,14.389272646468903,50.782354333220795,-67.37696556609596,73.08256849368219,-171.35840648792652,124.39142455187746
262,F2056,1.0,262,9.475895507744747,9.297008313545561,79.75822477720531,8.368744510970078,308.67079695809576,74.91667496918936
263,F2059,1.0,263,57.192971705292514,6.957388872709722,-67.03856560846425,72.70428753315603,-170.91545352359188,124.32525551260548
264,F2064,1.0,264,71.1983269186388,63.31376981629299,73.45452829434898,-4.283288909350086,308.53055851960437,66.14932431253143
266,F2073,1.0,266,-11.96068879102829,3.3422899457402484,11.9490936476393,1.6659442490061753,192.50047880462154,-58.60124322631234
267,F2075,1.0,267,70.20856412797959,-33.3975159952919,-23.304855752741165,4.917987000579605,-165.82389605569904,-96.05962955876275
269,F2084,0.0,269,77.71039091447867,-36.74056343392815,-21.40117402381684,-15.912344461615874,-143.60342345537842,-47.95794427742607
271,F2097,1.0,271,40.20308347678763,-25.265545542739257,79.59654444647255,10.058157467581918,350.8794940905483,77.76268739144743
272,F2098,1.0,272,68.88514217249949,5.865292314104049,-22.506508880976515,-15.788449491330013,-228.72035613621566,-103.32428538252206
273,F2119,1.0,273,-14.372934403325035,-71.08440194440554,-42.93161482131432,-33.81192044398635,-195.61010668845682,123.62786917087159
275,F2137,1.0,275,-146.78886489922473,101.62695339310041,-45.65177880307185,-17.78721538223552,-192.35021684346336,77.51847522868917
276,F2148,1.0,276,45.29120477286205,-1.9280546613063896,-45.68486817824816,-17.833604613009612,-193.45343880172743,86.88581200131883
277,F2165,1.0,277,-159.1878530374026,106.89579268241165,-45.62305777425916,-17.75302683755994,-193.06319061262312,87.06070131702737
278,F2166,1.0,278,3.5016747359535985,-26.91915147642291,-45.65802153505762,-17.791316304993693,-193.96963475266944,87.84067652893627
279,F2167,1.0,279,-20.85304827772909,70.96204287206459,79.53366769688832,7.005613675733429,333.49836356122574,28.227941285627153
281,F2176,1.0,281,92.02693923612705,66.91476545868208,-19.082712654743457,-9.245529247148665,-129.03019015204973,32.24492032588017
282,F2199,1.0,282,28.429961966668976,48.48327352180837,-70.89158714890212,76.8331390979424,-177.16062361321747,74.28235561248776
283,F2205,0.0,283,80.72714844770039,52.359116991300446,-19.132552361144754,-2.4325519196539984,-133.420721360581,-23.848428857839014
284,F2208,1.0,284,51.05666396704019,98.22724405428156,85.10074134066316,16.520627871373623,355.86287351571343,79.2615436883117
285,F2230,1.0,285,-158.16857746982478,132.1885848636135,-21.52607079087694,-16.363351362723282,-148.3698588122262,-57.75216831030248
