,Strain,Tob,Index,genexp_1,genexp_2,gpa_1,gpa_2,snps_1,snps_2
152,ESP024,0.0,152,-50.16607670715597,-43.04815008568782,-13.841314043527312,-5.061314560514216,-42.024002792088645,-119.11511039660093
153,ESP025,1.0,153,27.41181553617788,-11.022103560232775,-17.319949300314864,8.891675253628,-130.3025196262214,2.933386786501606
154,ESP027,0.0,154,3.50981064189307,-66.52205008054703,-16.36226145875993,10.21086004757959,-80.67640816080085,55.07283564749153
155,ESP028,0.0,155,-2.0622733380137754,-86.26054655531264,14.531332309639279,-6.982570707399245,188.06832731666665,86.54914674702503
156,ESP029,0.0,156,-30.847413483605727,114.799378742367,-12.626458049708848,-2.8895824350443644,-161.71458649291327,85.14582969629136
157,ESP031,0.0,157,4.020840947415116,69.6921769568901,-12.59037369911725,8.729685240142194,54.386756934309076,-86.26473876580563
158,ESP032,0.0,158,-76.02833681984313,89.31539233928684,10.90495427429415,-4.096458719516882,-72.23533791080779,79.66306971813404
159,ESP033,0.0,159,-29.200773864822285,12.460143291173,13.541814263604675,-5.506796770112029,173.3619136707191,122.48414382709252
160,ESP034,0.0,160,-16.107125854874393,-11.095190388047897,9.737571408550279,-6.2366258374974635,-91.02862918941089,53.620043818598944
161,ESP035,0.0,161,-25.02257769487065,-28.314676599883516,-13.0339824070269,7.056320528081423,-98.71537784603763,57.219006009075734
162,ESP036,0.0,162,-13.392792055567519,-33.911080152190685,-13.12879315496868,9.597736652321155,-86.83263426940039,45.102333572014444
163,ESP037,0.0,163,-71.08492575045567,-20.40490911085646,-2.105138753761572,-7.291518349959398,188.22391911915395,29.201022422399276
164,ESP038,0.0,164,173.37888171142717,86.69206286329066,-10.749510413477779,-5.216731720826864,-44.86476694485515,-34.272418834650836
165,ESP039,0.0,165,180.30444919602598,138.0429503066983,-8.589216620590891,-4.5518922631079395,-39.020079713858586,-34.013773844550656
167,ESP043,1.0,167,138.4360616890251,147.06708475866475,-51.16819276401803,-55.13908681512622,-164.95759346644346,-113.96291852041871
168,ESP044,0.0,168,73.16963985793633,93.33467648438307,-26.44873233866316,6.732910780191523,-164.95036814822245,37.66996772525833
169,ESP046,0.0,169,-16.80732059567617,-25.409400888454453,0.01754670549100839,-7.003532902437978,170.4488439989693,116.68330576827805
170,ESP047,1.0,170,116.61770400430129,102.03500723130233,-62.34329612995659,-71.55407002574265,-166.54006488412742,-120.72730797925122
171,ESP050,0.0,171,27.852408829500174,-59.28155288583642,3.6659071370122307,-5.548253738761938,173.194925374968,121.77932678384408
172,ESP053,1.0,172,-52.89164563832541,97.7532281936216,88.93272661778445,-10.664002244701614,255.14856727073044,-68.98649620853213
173,ESP055,0.0,173,12.383058345344736,-75.26084912662085,-16.53135781096236,9.577072934322327,-176.66228657559904,3.8301787597159755
174,ESP057,0.0,174,21.52840727801292,-71.90612826217352,-17.793555074538972,-5.02400314396361,-126.873432310895,6.653799888913817
175,ESP058,0.0,175,20.386960935737125,-68.74489986616875,-26.99651029767078,7.972982900658131,-146.6019480018092,58.9505959565575
176,ESP059,0.0,176,10.423598203625358,-71.08049087741732,-17.66972395117504,-5.020120135356951,-126.07969700312776,5.1067083674468154
177,ESP060,1.0,177,-59.23456047356789,-42.83178448498729,-31.23380506819811,6.998874479037804,-99.91573091059162,-126.41794870757822
178,ESP061,1.0,178,86.49723671832888,99.1128030666549,-51.54382362237927,-55.98743575465161,-127.69220210191745,-119.69772529378058
